energy_mev,dedx_mev_per_g_cm2
3.224185405217382e-03,4.050384898058930e+01
3.299286330972739e-03,3.986372795274533e+01
3.376136582012113e-03,3.923205221370439e+01
3.454776905355665e-03,3.860877038812490e+01
3.535248997143931e-03,3.799382906510131e+01
3.617595524744921e-03,3.738717291749786e+01
3.701860149377703e-03,3.678874481688797e+01
3.788087549261556e-03,3.619848594426481e+01
3.876323443305328e-03,3.561633589664415e+01
3.966614615347891e-03,3.504223278968979e+01
4.059008938963989e-03,3.447611335648600e+01
4.153555402846717e-03,3.391791304259132e+01
4.250304136782957e-03,3.336756609746656e+01
4.349306438231893e-03,3.282500566242598e+01
4.450614799524272e-03,3.229016385519180e+01
4.554282935694243e-03,3.176297185118026e+01
4.660365812959644e-03,3.124335996161997e+01
4.768919677866395e-03,3.073125770859752e+01
4.880002087110498e-03,3.022659389714173e+01
4.993671938055698e-03,2.972929668443176e+01
5.109989499961421e-03,2.923929364623079e+01
5.229016445938707e-03,2.875651184062691e+01
5.350815885649906e-03,2.828087786917973e+01
5.475452398770049e-03,2.781231793555094e+01
5.602992069228306e-03,2.735075790170254e+01
5.733502520245951e-03,2.689612334174498e+01
5.867052950191726e-03,2.644833959351176e+01
6.003714169271294e-03,2.600733180793715e+01
6.143558637071981e-03,2.557302499630818e+01
6.286660500981646e-03,2.514534407546669e+01
6.433095635502787e-03,2.472421391102321e+01
6.582941682481860e-03,2.430955935865813e+01
6.736278092276602e-03,2.390130530356621e+01
6.893186165880998e-03,2.349937669811694e+01
7.053749098032620e-03,2.310369859778184e+01
7.218052021323453e-03,2.271419619539600e+01
7.386182051338252e-03,2.233079485380711e+01
7.558228332844260e-03,2.195342013696859e+01
7.734282087057371e-03,2.158199783953004e+01
7.914436660008439e-03,2.121645401497958e+01
8.098787572036515e-03,2.085671500238632e+01
8.287432568435466e-03,2.050270745179210e+01
8.480471671279237e-03,2.015435834830336e+01
8.678007232455544e-03,1.981159503492436e+01
8.880143987933466e-03,1.947434523418128e+01
9.086989113296293e-03,1.914253706857734e+01
9.298652280567641e-03,1.881609907992116e+01
9.515245716360343e-03,1.849496024757265e+01
9.736884261381001e-03,1.817905000563974e+01
9.963685431319947e-03,1.786829825916984e+01
1.019576947915952e-02,1.756263539936958e+01
1.043325945893389e-02,1.726199231789048e+01
1.067628129097398e-02,1.696630042021362e+01
1.092496382867178e-02,1.667549163816928e+01
1.117943892680048e-02,1.638949844162132e+01
1.143984151142568e-02,1.610825384934946e+01
1.170630965144434e-02,1.583169143916092e+01
1.197898463179155e-02,1.555974535725798e+01
1.225801102835108e-02,1.529235032689307e+01
1.254353678461190e-02,1.502944165633693e+01
1.283571329010923e-02,1.477095524618901e+01
1.313469546069362e-02,1.451682759605255e+01
1.344064182066971e-02,1.426699581060277e+01
1.375371458684686e-02,1.402139760507132e+01
1.407407975454999e-02,1.377997131016889e+01
1.440190718563150e-02,1.354265587647162e+01
1.473737069853447e-02,1.330939087829079e+01
1.508064816045401e-02,1.308011651704812e+01
1.543192158164426e-02,1.285477362417738e+01
1.579137721192268e-02,1.263330366357206e+01
1.615920563942249e-02,1.241564873359728e+01
1.653560189164466e-02,1.220175156868659e+01
1.692076553886437e-02,1.199155554053928e+01
1.731490079994560e-02,1.178500465893780e+01
1.771821665062070e-02,1.158204357219999e+01
1.813092693429234e-02,1.138261756728375e+01
1.855325047541577e-02,1.118667256955948e+01
1.898541119552250e-02,1.099415514226482e+01
1.942763823194672e-02,1.080501248565715e+01
1.988016605931678e-02,1.061919243587721e+01
2.034323461387648e-02,1.043664346353816e+01
2.081708942070313e-02,1.025731467205231e+01
2.130198172388727e-02,1.008115579570948e+01
2.179816861974649e-02,9.908117197517722e+00
2.230591319314092e-02,9.738149866819459e+00
2.282548465696387e-02,9.571205416694161e+00
2.335715849488300e-02,9.407236081157700e+00
2.390121660740463e-02,9.246194712170240e+00
2.445794746134149e-02,9.088034776462166e+00
2.502764624276160e-02,8.932710352187861e+00
2.561061501349965e-02,8.780176125417253e+00
2.620716287131447e-02,8.630387386473899e+00
2.681760611377645e-02,8.483300026128601e+00
2.744226840597294e-02,8.338870531657083e+00
2.808148095211964e-02,8.197055982769772e+00
