energy_mev,dedx_mev_per_g_cm2
1.407407975454931e-01,2.723513744366384e+00
1.440190718563075e-01,2.689456468839821e+00
1.473737069853376e-01,2.656144773294494e+00
1.508064816045332e-01,2.623565776298906e+00
1.543192158164352e-01,2.591706828055040e+00
1.579137721192194e-01,2.560555506610451e+00
1.615920563942171e-01,2.530099614106777e+00
1.653560189164386e-01,2.500327173064526e+00
1.692076553886354e-01,2.471226422703956e+00
1.731490079994473e-01,2.442785815301887e+00
1.771821665061986e-01,2.414994012584308e+00
1.813092693429147e-01,2.387839882154603e+00
1.855325047541483e-01,2.361312493957303e+00
1.898541119552156e-01,2.335401116777209e+00
1.942763823194577e-01,2.310095214773791e+00
1.988016605931576e-01,2.285384444050781e+00
2.034323461387550e-01,2.261258649260858e+00
2.081708942070206e-01,2.237707860245427e+00
2.130198172388624e-01,2.214722288709368e+00
2.179816861974547e-01,2.192292324930841e+00
2.230591319313978e-01,2.170408534506090e+00
2.282548465696273e-01,2.149061655129307e+00
2.335715849488183e-01,2.128242593407615e+00
2.390121660740345e-01,2.107942421711261e+00
2.445794746134032e-01,2.088152375059119e+00
2.502764624276039e-01,2.068863848039670e+00
2.561061501349844e-01,2.050068391767621e+00
2.620716287131321e-01,2.031757710876353e+00
2.681760611377517e-01,2.013923660546450e+00
2.744226840597163e-01,1.996558243570570e+00
2.808148095211830e-01,1.979653607454939e+00
2.873558267116811e-01,1.963202041557798e+00
2.940492037651059e-01,1.947195974265156e+00
3.008984895985682e-01,1.931627970204245e+00
3.079073157940782e-01,1.916490727495055e+00
3.150793985240572e-01,1.901777075040434e+00
3.224185405217027e-01,1.887479969855182e+00
3.299286330972464e-01,1.873592494434653e+00
3.376136582011802e-01,1.860107854163374e+00
3.454776905355372e-01,1.847019374764234e+00
3.535248997143541e-01,1.834320499788786e+00
3.617595524744547e-01,1.822004788149254e+00
3.701860149377312e-01,1.810065911692853e+00
3.788087549261187e-01,1.798497652819012e+00
3.876323443304947e-01,1.787293902140147e+00
3.966614615347552e-01,1.776448656186600e+00
4.059008938963568e-01,1.765956015156405e+00
4.153555402846356e-01,1.755810180710503e+00
4.250304136782539e-01,1.746005453814073e+00
4.349306438231469e-01,1.736536232624600e+00
4.450614799523827e-01,1.727397010427330e+00
4.554282935693744e-01,1.718582373618727e+00
4.660365812959227e-01,1.710086999738550e+00
4.768919677865974e-01,1.701905655551137e+00
4.880002087110039e-01,1.694033195176468e+00
4.993671938055155e-01,1.686464558271559e+00
5.109989499960890e-01,1.679194768262690e+00
5.229016445938213e-01,1.672218930628974e+00
5.350815885649383e-01,1.665532231237679e+00
5.475452398769549e-01,1.659129934731750e+00
5.602992069227721e-01,1.653007382969850e+00
5.733502520245367e-01,1.647159993519266e+00
5.867052950191123e-01,1.641583258201923e+00
6.003714169270701e-01,1.636272741693716e+00
6.143558637071372e-01,1.631224080177313e+00
6.286660500981034e-01,1.626432980048500e+00
6.433095635502102e-01,1.621895216676116e+00
6.582941682481201e-01,1.617606633215512e+00
6.736278092275889e-01,1.613563139475423e+00
6.893186165880282e-01,1.609760710838089e+00
7.053749098031930e-01,1.606195387232347e+00
7.218052021322759e-01,1.602863272159372e+00
7.386182051337508e-01,1.599760531770675e+00
7.558228332843553e-01,1.596883393997856e+00
7.734282087056652e-01,1.594228147733582e+00
7.914436660007633e-01,1.591791142063140e+00
8.098787572035703e-01,1.589568785545874e+00
8.287432568434596e-01,1.587557545545722e+00
8.480471671278411e-01,1.585753947609991e+00
8.678007232454645e-01,1.584154574895478e+00
8.880143987932536e-01,1.582756067640902e+00
9.086989113295429e-01,1.581555122684631e+00
9.298652280566713e-01,1.580548493026551e+00
9.515245716359367e-01,1.579732987432912e+00
9.736884261379998e-01,1.579105470082900e+00
9.963685431318915e-01,1.578662860255649e+00
1.019576947915848e+00,1.578402132056350e+00
1.043325945893286e+00,1.578320314180055e+00
1.067628129097289e+00,1.578414489711772e+00
1.092496382867068e+00,1.578681795961364e+00
1.117943892679941e+00,1.579119424331768e+00
1.143984151142451e+00,1.579724620219013e+00
1.170630965144317e+00,1.580494682942498e+00
1.197898463179034e+00,1.581426965703968e+00
1.225801102834990e+00,1.582518875573638e+00
1.254353678461065e+00,1.583767873501885e+00
1.283571329010793e+00,1.585171474354946e+00
1.313469546069238e+00,1.586727246973078e+00
1.344064182066834e+00,1.588432814249616e+00
1.375371458684554e+00,1.590285853229420e+00
1.407407975454862e+00,1.592284095225207e+00
1.440190718563004e+00,1.594425325950290e+00
1.473737069853305e+00,1.596707385666302e+00
1.508064816045258e+00,1.599128169344488e+00
1.543192158164277e+00,1.601685626839234e+00
1.579137721192117e+00,1.604377763072509e+00
1.615920563942092e+00,1.607202638227979e+00
1.653560189164305e+00,1.610158367953588e+00
1.692076553886271e+00,1.613243123571480e+00
1.731490079994389e+00,1.616455132294180e+00
1.771821665061899e+00,1.619792677446029e+00
1.813092693429058e+00,1.623254098688932e+00
1.855325047541392e+00,1.626837792251551e+00
1.898541119552062e+00,1.630542211161157e+00
1.942763823194482e+00,1.634365865477397e+00
1.988016605931479e+00,1.638307322527358e+00
2.034323461387450e+00,1.642365207141329e+00
